day,no,word,meaning
DAY1,1,resume,이력서
DAY1,2,opening,"공석,결원;개장,개시"
DAY1,3,applicant,"지원자,신청자"
DAY1,4,requirement,"필요조건,요건"
DAY1,5,meet,(필요〮요구 등을 만족시키다)
DAY1,6,qualified,"자격있는,적격의"
DAY1,7,candidate,"후보자, 지원자"
DAY1,8,confidence,"확신,자신;신임"
DAY1,9,highly,"매우,대단히"
DAY1,10,professional,"전문적인,직업의,전문가"
DAY1,11,interview,"면접,면접을 보다"
DAY1,12,hire,고용하다
DAY1,13,training,"교육,훈련"
DAY1,14,reference,"추천서,참고"
DAY1,15,position,"일자리,직책,두다"
DAY1,16,achievement,"성취,달성"
DAY1,17,impressed,"인상 깊게 생각하는, 감명을 받은"
DAY1,18,excellent,"훌륭한, 탁월한"
DAY1,19,eligible,"자격이 있는,적격의"
DAY1,20,identify,"알아보다, 확인하다"
DAY1,21,associate,관련시키다
DAY1,22,condition,조건
DAY1,23,employment,고용
DAY1,24,lack,"~이 없다,부족"
DAY1,25,managerial,관리의
DAY1,26,diligent,성실한
DAY1,27,familiar,"익숙한,친숙한"
DAY1,28,proficiency,"숙달, 능숙"
DAY1,29,prospective,"장래의,미래의"
DAY1,30,appeal,"관심을 끌다, 매력적이다"
DAY1,31,specialize,"~을 전공하다,전문적으로 다루다"
DAY1,32,apprehensive,"걱정하는,염려하는"
DAY1,33,consultant,"고문,컨설턴트"
DAY1,34,entitle,자격을 주다
DAY1,35,degree,학위
DAY1,36,payroll,"임금 대장, 급료 명부"
DAY1,37,recruit,(신입 사원 등을)모집하다
DAY1,38,certification,"증명서,증명"
DAY1,39,occupation,직업
DAY1,40,wage,"임금, 급료"
DAY1,41,application form,신청서
DAY1,42,career,"직업,경력"
DAY1,43,completion,"완료,완성"
DAY1,44,fair,"공정한,타당한"
DAY1,45,graduation,졸업
DAY1,46,in fact,사실은
DAY1,47,job fair,취업 박람회
DAY1,48,job offer,일자리 제안
DAY1,49,list,"목록,명단,목록에 기입하다"
DAY1,50,newcomer,"새로 온 사람, 신입사원"
DAY1,51,part-time,"파트타임의, 시간제의"
DAY1,52,previous job,이전 직업
DAY1,53,secretary,비서
DAY1,54,send in,~을 제출하다
DAY1,55,tidy,"단정한, 깔끔한"
DAY1,56,trainee,훈련받는 사람
DAY1,57,apply for,~에 지원하다
DAY1,58,aptitude,"재능,소질"
DAY1,59,be admitted to,~에 입장이 허용되다
DAY1,60,be advised to do,~할 것을 권유받다
DAY1,61,criteria,기준(criterion의 복수형)
DAY1,62,decade,10년
DAY1,63,employ,고용하다
DAY1,64,insufficient,불충분한
DAY1,65,minimum,"최소한도, 최소한의"
DAY1,66,party,"단체,당사자,연회"
DAY1,67,plentiful,풍부한
DAY1,68,profession,직업
DAY1,69,achieve one's goal,목표를 달성하다
DAY1,70,apprentice,"견습생, 도제"
DAY1,71,dress formally,정장을 입다
DAY1,72,dressed in suit,정장을 입은
DAY1,73,figure out,~을 알아내다
DAY1,74,full time work,정규직
DAY1,75,job opportunity,취업 기회
DAY1,76,job search,구직
DAY1,77,job seeker,구직자
DAY1,78,lay out,"펼치다, 늘어놓다"
DAY1,79,letter of recommendation,추천서
DAY1,80,pay raise,임금 인상
DAY1,81,practical experience,실무 경험
DAY1,82,proof of employment,재직 증명서
DAY1,83,reapply,재신청하다
DAY1,84,recommendation letter,추천서
DAY1,85,reference letter,추천서
DAY1,86,send off to,~로 보내다
DAY1,87,set up an interview,면접 약속을 잡다
DAY1,88,take an examination,시험을 치르다
DAY1,89,training center,훈련소
DAY1,90,waiting room,대기실
DAY1,91,well-educated,"잘 교육된, 교양 있는"
DAY1,92,workstation,"작업대, (사무실의)자리"
DAY1,93,zealous,"열심인, 열광적인"
DAY1,94,cover letter,자기소개서
DAY1,95,devoted,헌신적인
DAY1,96,energetic,활동적인
DAY1,97,enthusiastic,열렬한
DAY1,98,excel,"(남을)능가하다, ~보다 낫다"
DAY1,99,exclude,"제외하다, 배제하다"
DAY1,100,fluently,유창하게
DAY1,101,get through,"(시험 등에) 합격하다, 통과하다"
DAY1,102,match,"~에 어울리다, 조화되다"
DAY1,103,necessity,필요
DAY1,104,qualification,"자격, 자격증"
DAY1,105,relevant,관련된
DAY1,106,sign up for,"~에 등록하다, 신청하다"
DAY1,107,talented,"유능한, 재능이 있는"
DAY1,108,visiting,"방문, 객원의, 방문하는"
DAY1,109,workforce,"노동 인구, 직원 수"
DAY1,110,address the audience,청중에게 연설하다
DAY1,111,be influenced by appearance,겉모습에 영향을 받다
DAY1,112,bilingual,2개 국어를 구사하는
DAY1,113,curriculum vitae,이력서
DAY1,114,diploma,졸업 증서
DAY1,115,endurance,인내력
DAY1,116,fluency,유창함
DAY1,117,fluent in,~에 능숙한
DAY1,118,go with,(계획·제의 등을)받아들이다
DAY1,119,human resources,"인적 자원, 인사 관리"
DAY1,120,improperly,부적절하게
DAY1,121,in a positive manner,긍정적으로
DAY1,122,in the field of,~의 분야에서
DAY1,123,inexperience,"무경험, 미숙"
DAY1,124,lack confidence,자신감이 결여되다
DAY1,125,make A a regular habit,A하는 습관을 들이다
DAY1,126,make a commitment to,"~에 헌신하다, 전념하다"
DAY1,127,make a point of -ing,반드시 -하다
